# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul  2 22:04:50 2026
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
2570,5817986,K02897.01,,FALSE POSITIVE,0.584310213,4.4600000e-07,-4.4600000e-07,132.0132580,6.370000e-04,-6.370000e-04,2.18010,0.03720,-0.03720,8.0940e+02,1.050e+01,-1.050e+01,23.09,7.210e+00,-2.260e+00,5783.00,156.00,-173.00,4.539,0.038,-0.212,0.8800,0.2750,-0.0860,0.9770,0.1140,-0.1250
2571,11129258,K02898.01,Kepler-1381 b,CONFIRMED,25.384175000,1.9360000e-04,-1.9360000e-04,137.7732600,5.720000e-03,-5.720000e-03,3.57600,0.18600,-0.18600,5.9400e+02,4.390e+01,-4.390e+01,2.44,7.600e-01,-2.600e-01,6137.00,171.00,-214.00,4.471,0.052,-0.208,0.9940,0.3120,-0.1040,1.0670,0.1370,-0.1370
2572,10586004,K00275.01,Kepler-129 b,CONFIRMED,15.791965940,3.5140000e-05,-3.5140000e-05,176.8188800,1.640000e-03,-1.640000e-03,7.27720,0.04830,-0.04830,2.0310e+02,2.900e+00,-2.900e+00,2.40,1.100e-01,-1.700e-01,5758.00,77.00,-68.00,4.072,0.033,-0.027,1.7040,0.0830,-0.1180,1.2510,0.0530,-0.1410
2573,4939533,K02899.01,,CANDIDATE,5.772071770,4.1340000e-05,-4.1340000e-05,134.9304200,5.280000e-03,-5.280000e-03,2.60500,0.20900,-0.20900,3.2850e+02,2.900e+01,-2.900e+01,1.54,3.100e-01,-1.500e-01,5591.00,149.00,-166.00,4.559,0.036,-0.153,0.8600,0.1740,-0.0800,0.9770,0.0710,-0.1320
2574,4846856,K02900.01,,CANDIDATE,46.151253000,3.7460000e-04,-3.7460000e-04,147.8124500,8.160000e-03,-8.160000e-03,5.34600,0.21100,-0.21100,6.4900e+02,4.350e+01,-4.350e+01,2.08,2.800e-01,-2.300e-01,5204.00,168.00,-153.00,4.525,0.095,-0.104,0.7690,0.1050,-0.0860,0.7230,0.1060,-0.0490
2575,7202957,K02687.02,Kepler-1869 b,CONFIRMED,8.167338510,6.0200000e-05,-6.0200000e-05,136.2035600,6.060000e-03,-6.060000e-03,3.33700,0.16600,-0.16600,1.0490e+02,7.700e+00,-7.700e+00,1.03,1.500e-01,-6.000e-02,5808.00,105.00,-128.00,4.522,0.030,-0.120,0.9020,0.1380,-0.0460,0.9870,0.0490,-0.0780
2576,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,6.38560,0.04380,-0.04380,2.2050e+02,2.200e+00,-2.200e+00,2.26,1.500e-01,-1.200e-01,5788.00,78.00,-78.00,4.122,0.033,-0.027,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680
2577,5790807,K00259.01,,FALSE POSITIVE,79.996233280,1.9930000e-05,-1.9930000e-05,207.1262640,1.850000e-04,-1.850000e-04,6.33390,0.01540,-0.01540,2.4384e+04,4.000e+01,-4.000e+01,40.73,6.400e+00,-1.189e+01,6796.00,67.00,-88.00,3.880,0.224,-0.096,2.4900,0.3910,-0.7270,1.7150,0.1500,-0.2440
2578,8892303,K02688.01,Kepler-1314 b,CONFIRMED,5.424749327,3.8980000e-06,-3.8980000e-06,133.7289520,7.130000e-04,-7.130000e-04,1.13900,0.02320,-0.02320,7.6800e+03,1.220e+02,-1.220e+02,5.15,3.700e-01,-6.300e-01,4137.00,145.00,-160.00,4.658,0.063,-0.027,0.5910,0.0420,-0.0720,0.5800,0.0650,-0.0590
2579,10265602,K02689.01,,CANDIDATE,165.344704400,3.0100000e-04,-3.0100000e-04,174.2962100,1.480000e-03,-1.480000e-03,3.09000,0.14400,-0.14400,4.8990e+03,1.720e+02,-1.720e+02,6.98,1.530e+00,-8.200e-01,5594.00,186.00,-186.00,4.520,0.077,-0.143,0.8120,0.1780,-0.0960,0.7980,0.1060,-0.0620
2580,5369827,K02690.01,Kepler-1870 b,CONFIRMED,3.606940379,7.2450000e-06,-7.2450000e-06,134.7744200,1.650000e-03,-1.650000e-03,1.04180,0.06600,-0.06600,4.3230e+02,2.720e+01,-2.720e+01,2.04,2.600e-01,-7.000e-02,5508.00,99.00,-110.00,4.569,0.012,-0.108,0.8400,0.1070,-0.0270,0.9550,0.0450,-0.0670
2581,5302643,K02746.01,,FALSE POSITIVE,69.200231200,4.0370000e-04,-4.0370000e-04,145.9515900,4.700000e-03,-4.700000e-03,5.67900,0.25800,-0.25800,2.2715e+03,9.230e+01,-9.230e+01,45.24,1.303e+01,-5.570e+00,7044.00,219.00,-329.00,4.337,0.060,-0.180,1.2670,0.3650,-0.1560,1.2910,0.1870,-0.1870
2582,6586746,K02747.01,Kepler-1335 b,CONFIRMED,6.264047740,2.8100000e-05,-2.8100000e-05,132.8292800,3.370000e-03,-3.370000e-03,2.39000,0.10600,-0.10600,3.7870e+02,2.170e+01,-2.170e+01,1.55,1.400e-01,-1.600e-01,5032.00,151.00,-151.00,4.511,0.077,-0.056,0.8170,0.0710,-0.0850,0.7890,0.0780,-0.0570
2583,9962455,K02748.01,Kepler-1336 b,CONFIRMED,23.198585200,2.2640000e-04,-2.2640000e-04,142.6280100,8.030000e-03,-8.030000e-03,9.82100,0.23500,-0.23500,2.2470e+02,8.500e+00,-8.500e+00,2.61,5.100e-01,-5.100e-01,5416.00,130.00,-87.00,3.951,0.168,-0.112,1.7560,0.3440,-0.3440,1.0040,0.1310,-0.0810
2584,9962455,K02748.02,Kepler-1336 c,CONFIRMED,5.777212590,2.8020000e-05,-2.8020000e-05,137.1669600,3.770000e-03,-3.770000e-03,2.46200,0.11600,-0.11600,1.3430e+02,8.500e+00,-8.500e+00,2.17,4.200e-01,-4.300e-01,5416.00,130.00,-87.00,3.951,0.168,-0.112,1.7560,0.3440,-0.3440,1.0040,0.1310,-0.0810
2585,8687088,K02749.01,,FALSE POSITIVE,0.905037231,2.0680000e-06,-2.0680000e-06,132.2170300,1.900000e-03,-1.900000e-03,1.43510,0.05850,-0.05850,3.7500e+01,1.600e+00,-1.600e+00,1.10,2.800e-01,-4.200e-01,6223.00,199.00,-243.00,4.010,0.350,-0.150,1.7630,0.4500,-0.6750,1.1590,0.1890,-0.2080
2586,6436029,K02828.01,Kepler-1359 b,CONFIRMED,59.496900900,4.8850000e-04,-4.8850000e-04,146.9519300,6.940000e-03,-6.940000e-03,5.40400,0.17500,-0.17500,1.2621e+03,5.960e+01,-5.960e+01,2.92,2.400e-01,-3.000e-01,4817.00,184.00,-167.00,4.499,0.095,-0.114,0.8330,0.0680,-0.0840,0.8000,0.0560,-0.0510
2587,6197215,K02829.01,Kepler-1879 b,CONFIRMED,10.613453330,2.5520000e-05,-2.5520000e-05,135.6898000,1.930000e-03,-1.930000e-03,0.98290,0.08040,-0.08040,1.5020e+02,1.010e+01,-1.010e+01,1.77,2.900e-01,-3.700e-01,5865.00,117.00,-105.00,4.163,0.182,-0.098,1.3880,0.2330,-0.2840,1.0230,0.0980,-0.0800
2588,9451706,K00271.01,Kepler-127 d,CONFIRMED,48.630380500,1.6190000e-04,-1.6190000e-04,172.5473600,2.460000e-03,-2.460000e-03,7.08050,0.08890,-0.08890,3.3980e+02,6.600e+00,-6.600e+00,2.48,6.000e-02,-6.000e-02,6075.00,122.00,-97.00,4.264,0.012,-0.012,1.3520,0.0360,-0.0300,1.2250,0.0550,-0.0400
2589,9244508,K02830.01,Kepler-1360 b,CONFIRMED,40.528988500,2.7690000e-04,-2.7690000e-04,168.0166900,5.320000e-03,-5.320000e-03,10.60400,0.16500,-0.16500,3.6070e+02,1.130e+01,-1.130e+01,5.92,8.300e-01,-1.540e+00,6443.00,77.00,-90.00,3.740,0.210,-0.090,3.0860,0.4320,-0.8020,1.9070,0.0690,-0.2570
2590,9692557,K02831.01,,FALSE POSITIVE,0.571940563,1.0530000e-06,-1.0530000e-06,131.7137100,1.690000e-03,-1.690000e-03,0.90310,0.05750,-0.05750,5.4300e+01,3.200e+00,-3.200e+00,1.88,4.500e-01,-6.100e-01,5827.00,157.00,-157.00,3.740,0.280,-0.120,2.2860,0.5550,-0.7400,1.0470,0.1800,-0.1800
2591,9366886,K02901.01,,FALSE POSITIVE,0.633514386,1.6220000e-06,-1.6220000e-06,131.5623600,2.080000e-03,-2.080000e-03,1.27920,0.07900,-0.07900,1.7910e+02,1.010e+01,-1.010e+01,0.81,6.000e-02,-8.000e-02,4330.00,116.00,-129.00,4.640,0.052,-0.024,0.6180,0.0450,-0.0600,0.6100,0.0660,-0.0550
2592,3657176,K02903.01,,FALSE POSITIVE,17.416614300,1.1100000e-04,-1.1100000e-04,141.1036900,5.230000e-03,-5.230000e-03,2.44500,0.19900,-0.19900,3.1420e+02,2.950e+01,-2.950e+01,1.84,6.000e-01,-1.900e-01,5946.00,176.00,-211.00,4.444,0.070,-0.210,1.0170,0.3270,-0.1090,1.0460,0.1400,-0.1400
2593,3969687,K02904.01,Kepler-1382 b,CONFIRMED,16.358348200,1.0310000e-04,-1.0310000e-04,141.2535400,5.350000e-03,-5.350000e-03,9.85800,0.14800,-0.14800,1.1640e+02,4.400e+00,-4.400e+00,2.23,4.200e-01,-5.200e-01,6133.00,111.00,-135.00,4.084,0.174,-0.130,1.7650,0.3340,-0.4090,1.3770,0.1150,-0.1400
2594,9369366,K02905.01,,FALSE POSITIVE,36.005441400,3.1750000e-04,-3.1750000e-04,144.3433100,6.940000e-03,-6.940000e-03,3.26200,0.29600,-0.29600,1.1750e+02,1.040e+01,-1.040e+01,3.33,5.400e-01,-1.100e+00,7048.00,172.00,-246.00,3.797,0.252,-0.108,2.8380,0.4690,-0.9380,1.8400,0.1780,-0.3300
2595,6716545,K02906.01,Kepler-1383 b,CONFIRMED,13.909354400,1.6610000e-04,-1.6610000e-04,142.8769000,1.070000e-02,-1.070000e-02,6.76500,0.28400,-0.28400,8.6800e+01,6.200e+00,-6.200e+00,1.33,2.400e-01,-2.300e-01,6052.00,82.00,-82.00,4.183,0.154,-0.112,1.4240,0.2630,-0.2370,1.1280,0.1110,-0.0830
2596,4552729,K02691.01,,CANDIDATE,97.446319400,2.8600000e-04,-2.8600000e-04,204.8300900,2.290000e-03,-2.290000e-03,6.76500,0.08680,-0.08680,2.1411e+03,3.970e+01,-3.970e+01,3.05,2.800e-01,-2.500e-01,4735.00,170.00,-170.00,4.627,0.032,-0.048,0.6860,0.0630,-0.0570,0.7300,0.0650,-0.0710
2597,2989706,K02692.01,,FALSE POSITIVE,1.257689465,1.1580000e-06,-1.1580000e-06,132.5036490,7.490000e-04,-7.490000e-04,0.83990,0.03160,-0.03160,9.4560e+02,2.800e+01,-2.800e+01,2.45,6.100e-01,-2.400e-01,5676.00,172.00,-172.00,4.571,0.050,-0.150,0.7870,0.1950,-0.0780,0.8400,0.0890,-0.0890
2598,5185897,K02693.01,Kepler-398 b,CONFIRMED,4.081411554,8.9000000e-06,-8.9000000e-06,133.8599200,1.770000e-03,-1.770000e-03,2.32390,0.05470,-0.05470,1.7190e+02,5.300e+00,-5.300e+00,1.00,7.000e-02,-3.000e-02,4498.00,90.00,-90.00,4.661,0.012,-0.042,0.6350,0.0450,-0.0190,0.6980,0.0280,-0.0420
2599,5185897,K02693.02,Kepler-398 c,CONFIRMED,11.419419280,4.9650000e-05,-4.9650000e-05,142.1185900,3.230000e-03,-3.230000e-03,3.30750,0.09070,-0.09070,1.5050e+02,7.100e+00,-7.100e+00,0.99,7.000e-02,-3.000e-02,4498.00,90.00,-90.00,4.661,0.012,-0.042,0.6350,0.0450,-0.0190,0.6980,0.0280,-0.0420
2600,5185897,K02693.03,Kepler-398 d,CONFIRMED,6.834406740,1.9240000e-05,-1.9240000e-05,136.8602300,2.250000e-03,-2.250000e-03,2.27260,0.06090,-0.06090,1.7710e+02,6.800e+00,-6.800e+00,1.01,7.000e-02,-3.000e-02,4498.00,90.00,-90.00,4.661,0.012,-0.042,0.6350,0.0450,-0.0190,0.6980,0.0280,-0.0420
2601,3663173,K02750.01,,CANDIDATE,174.636181000,2.0220000e-03,-2.0220000e-03,184.5253000,9.610000e-03,-9.610000e-03,15.67900,0.31700,-0.31700,2.5009e+03,7.890e+01,-7.890e+01,11.12,1.480e+00,-2.760e+00,5974.00,89.00,-80.00,3.859,0.196,-0.084,2.2320,0.2980,-0.5540,1.3130,0.1430,-0.1750
2602,9881077,K02751.01,Kepler-1337 b,CONFIRMED,24.400437800,1.1420000e-04,-1.1420000e-04,135.6232600,3.830000e-03,-3.830000e-03,2.98700,0.11300,-0.11300,8.6050e+02,4.830e+01,-4.830e+01,2.47,1.700e-01,-2.000e-01,4583.00,137.00,-137.00,4.606,0.052,-0.028,0.6740,0.0480,-0.0540,0.6690,0.0730,-0.0550
2603,3097346,K00264.01,,FALSE POSITIVE,4.029810359,7.7640000e-06,-7.7640000e-06,170.6913100,1.770000e-03,-1.770000e-03,3.33160,0.05600,-0.05600,1.1110e+02,2.100e+00,-2.100e+00,1.77,4.300e-01,-6.400e-01,5929.00,187.00,-208.00,4.055,0.336,-0.144,1.6510,0.3990,-0.5990,1.1270,0.1550,-0.1730
2604,5717567,K02752.01,,FALSE POSITIVE,1.287622419,2.9110000e-06,-2.9110000e-06,132.4306900,1.940000e-03,-1.940000e-03,0.82100,0.08490,-0.08490,3.6500e+01,3.300e+00,-3.300e+00,0.87,1.500e-01,-9.000e-02,6170.00,74.00,-80.00,4.308,0.076,-0.114,1.2740,0.2170,-0.1330,1.2080,0.0750,-0.0840
2605,6265792,K02753.01,Kepler-1338 b,CONFIRMED,0.935115863,2.6310000e-06,-2.6310000e-06,132.2019300,2.430000e-03,-2.430000e-03,1.61720,0.07850,-0.07850,6.4800e+01,3.700e+00,-3.700e+00,1.05,1.600e-01,-1.700e-01,5874.00,79.00,-79.00,4.252,0.137,-0.112,1.2970,0.2070,-0.2070,1.0960,0.0780,-0.0780
2606,9995402,K02832.01,Kepler-1361 b,CONFIRMED,3.575514290,2.0790000e-05,-2.0790000e-05,132.8612500,4.340000e-03,-4.340000e-03,2.36400,0.13600,-0.13600,9.2800e+01,6.600e+00,-6.600e+00,0.89,2.100e-01,-1.300e-01,5213.00,157.00,-141.00,4.434,0.124,-0.201,0.9170,0.2150,-0.1320,0.8320,0.0930,-0.0620
2607,9109857,K02833.01,,CANDIDATE,1.791877025,8.2990000e-06,-8.2990000e-06,132.8762000,3.280000e-03,-3.280000e-03,1.16600,0.13000,-0.13000,4.6100e+01,4.800e+00,-4.800e+00,1.48,2.300e-01,-4.100e-01,6002.00,119.00,-131.00,3.841,0.217,-0.093,2.1390,0.3190,-0.5920,1.1560,0.1150,-0.1720
2608,5609593,K02834.01,Kepler-1362 b,CONFIRMED,136.205112000,1.3840000e-03,-1.3840000e-03,234.7260100,7.700000e-03,-7.700000e-03,5.56800,0.20000,-0.20000,1.2093e+03,7.020e+01,-7.020e+01,2.35,2.200e-01,-1.700e-01,4648.00,167.00,-167.00,4.631,0.032,-0.042,0.6750,0.0620,-0.0500,0.7110,0.0640,-0.0700
2609,5436338,K02835.01,Kepler-1880 b,CONFIRMED,6.309220430,1.7230000e-05,-1.7230000e-05,133.9967700,2.310000e-03,-2.310000e-03,1.32510,0.07160,-0.07160,6.9120e+02,3.820e+01,-3.820e+01,1.37,1.000e-01,-1.200e-01,4380.00,130.00,-143.00,4.710,0.059,-0.032,0.5300,0.0410,-0.0450,0.5240,0.0450,-0.0340
2610,11414465,K02836.01,Kepler-1363 b,CONFIRMED,2.941942960,1.3240000e-05,-1.3240000e-05,133.1044000,4.010000e-03,-4.010000e-03,2.05600,0.12700,-0.12700,2.7800e+02,1.850e+01,-1.850e+01,1.22,1.000e-01,-1.200e-01,4901.00,146.00,-146.00,4.544,0.070,-0.056,0.7580,0.0620,-0.0750,0.7330,0.0830,-0.0600
2611,6716545,K02906.02,,CANDIDATE,145.881936000,5.1530000e-03,-5.1530000e-03,194.6951000,3.420000e-02,-3.420000e-02,11.34200,0.73700,-0.73700,1.5690e+02,1.570e+01,-1.570e+01,1.80,3.300e-01,-3.000e-01,6052.00,82.00,-82.00,4.183,0.154,-0.112,1.4240,0.2630,-0.2370,1.1280,0.1110,-0.0830
2612,2708885,K02907.01,,FALSE POSITIVE,1.146934644,3.9300000e-06,-3.9300000e-06,132.2666000,2.950000e-03,-2.950000e-03,1.72470,0.09150,-0.09150,2.5620e+02,1.550e+01,-1.550e+01,1.39,3.000e-01,-1.400e-01,5423.00,193.00,-193.00,4.502,0.074,-0.147,0.8620,0.1890,-0.0870,0.8620,0.0990,-0.0810
2613,6612284,K02908.01,,FALSE POSITIVE,1.245353252,8.4330000e-06,-8.4330000e-06,132.2152200,7.810000e-03,-7.810000e-03,2.15200,0.49000,-0.49000,2.2420e+02,1.690e+01,-1.690e+01,1.48,4.400e-01,-1.500e-01,5982.00,189.00,-210.00,4.493,0.050,-0.200,0.9600,0.2850,-0.0950,1.0470,0.1260,-0.1390
2614,10586004,K00275.02,Kepler-129 c,CONFIRMED,82.200123900,3.9690000e-04,-3.9690000e-04,208.7941700,3.380000e-03,-3.380000e-03,10.62700,0.10000,-0.10000,2.3390e+02,5.000e+00,-5.000e+00,2.57,1.300e-01,-1.800e-01,5758.00,77.00,-68.00,4.072,0.033,-0.027,1.7040,0.0830,-0.1180,1.2510,0.0530,-0.1410
2615,4483138,K02910.01,Kepler-1384 b,CONFIRMED,15.362605200,1.0320000e-04,-1.0320000e-04,145.5732000,5.740000e-03,-5.740000e-03,3.73600,0.14800,-0.14800,4.6830e+02,2.730e+01,-2.730e+01,1.80,2.000e-01,-2.100e-01,5011.00,192.00,-174.00,4.484,0.105,-0.105,0.8510,0.0990,-0.0990,0.8060,0.0740,-0.0620
2616,9475552,K02694.01,Kepler-1315 b,CONFIRMED,0.843379985,8.5300000e-07,-8.5300000e-07,131.9661740,8.360000e-04,-8.360000e-04,1.44740,0.02980,-0.02980,3.4330e+02,7.500e+00,-7.500e+00,1.70,1.700e-01,-1.800e-01,4818.00,143.00,-129.00,4.481,0.078,-0.585,0.8560,0.0890,-0.0890,0.8090,0.0470,-0.0420
2617,9475552,K02694.02,Kepler-1315 c,CONFIRMED,6.566069410,1.9440000e-05,-1.9440000e-05,134.4951200,2.410000e-03,-2.410000e-03,1.84550,0.07060,-0.07060,4.0240e+02,1.740e+01,-1.740e+01,1.83,1.800e-01,-1.900e-01,4818.00,143.00,-129.00,4.481,0.078,-0.585,0.8560,0.0890,-0.0890,0.8090,0.0470,-0.0420
2618,8292840,K00260.01,Kepler-126 b,CONFIRMED,10.495663030,2.6610000e-05,-2.6610000e-05,172.7933500,2.040000e-03,-2.040000e-03,4.73560,0.05670,-0.05670,1.0610e+02,2.400e+00,-2.400e+00,1.34,8.000e-02,-5.000e-02,6214.00,113.00,-87.00,4.238,0.033,-0.027,1.2970,0.0740,-0.0540,1.0590,0.0870,-0.0470
2619,5196864,K02695.01,,CANDIDATE,2.503432790,1.0020000e-05,-1.0020000e-05,131.9452200,3.200000e-03,-3.200000e-03,1.53400,0.19200,-0.19200,1.1560e+03,1.100e+02,-1.100e+02,20.23,2.700e+00,-2.430e+00,5174.00,169.00,-154.00,4.483,0.095,-0.105,0.8400,0.1120,-0.1010,0.7820,0.1070,-0.0580
2620,11071200,K02696.01,,CANDIDATE,96.456219800,4.2260000e-04,-4.2260000e-04,214.7493100,3.410000e-03,-3.410000e-03,11.19500,0.16600,-0.16600,9.5050e+02,1.830e+01,-1.830e+01,9.10,1.630e+00,-3.030e+00,7029.00,194.00,-219.00,3.806,0.277,-0.092,2.7040,0.4850,-0.9010,1.7040,0.1740,-0.3490
2621,11071200,K02696.02,,CANDIDATE,44.564383100,3.5010000e-04,-3.5010000e-04,143.4352600,6.040000e-03,-6.040000e-03,7.87400,0.17800,-0.17800,3.6050e+02,1.440e+01,-1.440e+01,5.80,1.040e+00,-1.930e+00,7029.00,194.00,-219.00,3.806,0.277,-0.092,2.7040,0.4850,-0.9010,1.7040,0.1740,-0.3490
2622,10905911,K02754.01,Kepler-1339 b,CONFIRMED,1.341556420,3.5690000e-06,-3.5690000e-06,132.7374300,2.140000e-03,-2.140000e-03,1.64620,0.06250,-0.06250,5.8200e+01,2.900e+00,-2.900e+00,0.74,1.100e-01,-6.000e-02,5779.00,104.00,-115.00,4.440,0.072,-0.117,0.9700,0.1400,-0.0860,0.9450,0.0620,-0.0620
2623,3545135,K02755.01,Kepler-1689 b,CONFIRMED,8.482992820,3.9080000e-05,-3.9080000e-05,132.9658300,3.720000e-03,-3.720000e-03,2.50500,0.11000,-0.11000,6.9100e+01,3.900e+00,-3.900e+00,0.80,1.100e-01,-6.000e-02,5827.00,104.00,-116.00,4.471,0.059,-0.110,0.9330,0.1260,-0.0730,0.9400,0.0540,-0.0670
2624,6964929,K02756.01,Kepler-1340 b,CONFIRMED,0.665025941,1.5340000e-06,-1.5340000e-06,131.6596200,2.000000e-03,-2.000000e-03,1.75420,0.06630,-0.06630,1.0470e+02,4.700e+00,-4.700e+00,1.11,1.800e-01,-8.000e-02,5884.00,70.00,-79.00,4.408,0.063,-0.117,1.0700,0.1660,-0.0830,1.0700,0.0640,-0.0700
2625,6432345,K02757.01,Kepler-1690 b,CONFIRMED,234.635652000,1.3840000e-03,-1.3840000e-03,172.6461500,4.880000e-03,-4.880000e-03,6.96500,0.15500,-0.15500,8.6850e+02,3.790e+01,-3.790e+01,2.56,2.500e-01,-1.900e-01,5422.00,107.00,-107.00,4.481,0.067,-0.075,0.8850,0.0880,-0.0660,0.8670,0.0590,-0.0450
2626,8703129,K02758.01,,CANDIDATE,253.374581000,1.1400000e-03,-1.1400000e-03,235.7402500,3.570000e-03,-3.570000e-03,22.88900,0.12400,-0.12400,1.1040e+03,1.280e+01,-1.280e+01,19.25,4.980e+00,-1.163e+01,5177.00,163.00,-181.00,3.216,0.578,-0.193,5.9490,1.5410,-3.5950,2.1220,0.5850,-1.0870
2627,11565924,K02837.01,Kepler-1364 b,CONFIRMED,13.321914610,8.4150000e-05,-8.4150000e-05,142.7235000,5.300000e-03,-5.300000e-03,6.21300,0.13600,-0.13600,1.3350e+02,6.100e+00,-6.100e+00,2.88,5.800e-01,-8.100e-01,6995.00,194.00,-243.00,3.925,0.227,-0.122,2.2740,0.4620,-0.6350,1.5840,0.1880,-0.2580
2628,6607357,K02838.01,Kepler-1365 b,CONFIRMED,7.699944660,4.9180000e-05,-4.9180000e-05,134.3928200,6.010000e-03,-6.010000e-03,4.43200,0.16800,-0.16800,7.0900e+01,4.500e+00,-4.500e+00,0.92,1.400e-01,-1.400e-01,5727.00,115.00,-104.00,4.328,0.132,-0.108,1.1040,0.1640,-0.1640,0.9460,0.0790,-0.0570
2629,6607357,K02838.02,Kepler-1365 c,CONFIRMED,4.774660430,4.2010000e-05,-4.2010000e-05,135.1633800,7.430000e-03,-7.430000e-03,3.80400,0.17300,-0.17300,5.4300e+01,3.900e+00,-3.900e+00,0.81,1.200e-01,-1.200e-01,5727.00,115.00,-104.00,4.328,0.132,-0.108,1.1040,0.1640,-0.1640,0.9460,0.0790,-0.0570
2630,9451706,K00271.02,Kepler-127 c,CONFIRMED,29.393371610,7.2090000e-05,-7.2090000e-05,209.0673700,1.890000e-03,-1.890000e-03,7.04450,0.06640,-0.06640,3.2700e+02,4.900e+00,-4.900e+00,2.50,7.000e-02,-5.000e-02,6075.00,122.00,-97.00,4.264,0.012,-0.012,1.3520,0.0360,-0.0300,1.2250,0.0550,-0.0400
2631,6186964,K02839.01,Kepler-1366 b,CONFIRMED,2.164570593,6.4230000e-06,-6.4230000e-06,131.8314200,2.780000e-03,-2.780000e-03,1.28620,0.07190,-0.07190,5.2510e+02,3.220e+01,-3.220e+01,1.27,7.000e-02,-6.000e-02,3941.00,71.00,-78.00,4.713,0.025,-0.028,0.5540,0.0300,-0.0300,0.5780,0.0260,-0.0380
2632,5471202,K02911.01,,FALSE POSITIVE,12.425834300,1.7490000e-04,-1.7490000e-04,141.5311000,1.350000e-02,-1.350000e-02,28.11710,0.00000,0.00000,4.4940e+02,5.500e+00,-5.500e+00,2.75,7.700e-01,-3.100e-01,6185.00,168.00,-206.00,4.472,0.048,-0.192,0.9910,0.2770,-0.1110,1.0600,0.1300,-0.1440
2633,9640439,K02912.01,,FALSE POSITIVE,0.873227249,1.8970000e-06,-1.8970000e-06,132.2335900,1.990000e-03,-1.990000e-03,0.79480,0.07070,-0.07070,2.2180e+02,1.600e+01,-1.600e+01,1.68,5.900e-01,-1.900e-01,6341.00,179.00,-246.00,4.409,0.056,-0.224,1.1110,0.3890,-0.1300,1.1540,0.1690,-0.1690
2634,9693006,K02913.01,Kepler-1385 b,CONFIRMED,2.888785830,1.7610000e-05,-1.7610000e-05,132.3365100,4.850000e-03,-4.850000e-03,2.97700,0.17400,-0.17400,4.0900e+01,2.900e+00,-2.900e+00,0.84,1.600e-01,-1.400e-01,5696.00,113.00,-101.00,4.247,0.130,-0.117,1.3310,0.2440,-0.2200,1.1390,0.0830,-0.1010
